# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"2_sNz1QUhB","[""1red applee02901.png""]",0,"[]","[7,134.271,43.419,121.723,43.67,112.938,47.183,102.648,52.705,93.111,60.485,85.833,72.532,85.331,82.32,87.59,97.629,89.347,111.182,100.139,122.475,121.973,135.777,134.02,140.546,149.33,139.793,162.129,131.009,173.925,127.746,181.956,125.738,189.737,111.182,191.493,98.884,188.482,82.069,184.717,69.771,179.196,61.74,167.149,52.956,153.596,47.183]","{}"
"2_pvaJbeqD","[""1red applee02901.png""]",0,"[]","[7,254.739,28.36,239.68,31.874,226.379,38.399,215.085,47.685,202.787,61.238,197.266,75.041,198.019,92.86,205.799,107.417,217.846,122.224,239.178,132.514,259.758,132.514,277.829,128.75,291.632,115.448,302.675,95.872,304.432,76.547,300.667,54.21,286.111,40.658,270.299,30.87]","{}"
"2_9ldHP6U9","[""1red applee02901.png""]",0,"[]","[7,181.956,126.993,165.643,131.26,158.365,134.522,150.585,141.8,140.797,153.847,131.511,173.172,127.746,194.254,121.973,214.332,127.746,231.9,143.808,235.665,154.098,238.426,163.133,246.457,176.686,249.217,191.744,247.461,207.305,238.175,221.108,221.61,238.426,207.807,247.963,194.756,253.233,174.929,247.21,161.627,231.147,153.596,221.861,144.059,211.069,137.032,193.752,138.036]","{}"
"3_Dbqz1pfV","[""2red applee03301.png""]",0,"[]","[7,145.063,44.171,127.746,42.666,110.429,47.183,94.868,55.716,89.347,69.269,84.076,82.571,83.574,99.637,83.825,113.942,98.382,124.232,115.95,136.781,133.518,142.051,146.067,143.306,155.604,136.028,165.141,131.009,179.447,125.989,186.725,117.205,191.242,100.139,188.231,85.582,185.219,71.528,180.952,61.74,166.396,52.454,154.6,47.183]","{}"
"3_oXD23PA4","[""2red applee03301.png""]",0,"[]","[7,179.698,127.244,170.913,129.252,162.631,132.263,153.345,139.04,144.561,148.828,134.271,163.384,131.26,174.678,130.005,185.721,129.252,195.509,125.738,204.544,121.973,216.842,124.232,226.379,131.26,233.155,139.542,235.665,147.824,238.928,156.608,239.429,162.882,242.441,171.917,246.206,183.211,248.465,196.764,248.214,206.552,239.429,219.602,228.638,229.39,217.595,239.178,207.305,245.955,195.258,250.472,182.207,249.468,169.659,246.206,161.627,234.661,153.596,227.383,152.843,220.857,143.055,211.069,139.04,201.783,139.542,188.733,135.275,185.219,129.252]","{}"
"3_Ei2mhhxX","[""2red applee03301.png""]",0,"[]","[7,234.159,32.376,222.865,38.65,212.575,46.179,204.795,55.465,197.768,68.516,196.011,86.084,200.779,97.88,208.56,109.425,217.093,119.715,223.618,125.989,237.171,130.758,247.963,132.012,263.272,131.009,277.578,126.993,287.867,122.726,293.138,108.923,300.918,102.398,305.185,90.1,304.683,75.041,302.173,63.496,300.416,52.705,292.887,43.419,281.091,36.642,268.542,30.619,253.484,28.611]","{}"
"3_dp0dy9c9","[""2red applee03301.png""]",0,"[]","[7,296.652,146.82,287.617,149.079,281.091,147.824,272.809,150.334,262.77,157.361,256.747,167.902,254.488,180.2,251.225,196.011,251.978,216.842,255.743,232.653,264.527,245.453,274.315,253.986,287.867,258.504,306.44,262.017,321.498,261.013,333.294,259.005,343.082,249.468,345.592,239.429,349.858,229.14,356.634,223.367,357.889,209.564,355.631,199.023,343.333,181.203,319.741,153.094,300.667,146.82]","{}"
"3_kmBVZ4NM","[""2red applee03301.png""]",0,"[]","[7,356.634,43.67,337.058,47.434,326.769,52.956,317.231,62.995,309.2,71.528,306.189,85.331,302.424,100.892,300.416,113.942,305.185,123.479,313.969,133.518,324.008,139.04,333.796,144.059,348.352,147.322,358.14,148.828,367.175,148.577,381.481,143.557,390.265,136.781,400.304,125.738,402.814,120.468,406.327,112.938,405.825,104.656,405.825,98.382,404.822,90.1,404.571,83.072,403.567,77.3,402.814,70.524,399.3,63.747,395.284,59.481,390.014,55.465,382.987,52.705,378.971,49.693,375.708,46.932,371.191,43.92,365.168,42.164]","{}"
"4_zezS3noX","[""3red applee03501.png""]",0,"[]","[7,22.217,23.904,11.811,17.998,2.812,13.78,0.281,12.655,0.281,18.279,0.562,32.903,0.281,96.741,10.968,97.584,20.81,100.397,28.966,99.272,38.246,98.99,55.963,98.147,70.587,89.991,77.899,81.555,82.679,76.493,86.617,68.9,88.023,63.275,90.554,58.213,92.522,54.838,95.053,51.183,97.303,46.402,97.866,40.777,96.459,35.434,94.491,29.528,91.679,23.623,88.585,19.686,81.273,16.873,75.93,14.342,71.993,12.093,64.681,13.217,70.868,17.998,76.211,20.529,78.742,22.779,82.117,26.716,83.242,30.091,83.242,32.341,81.273,36.559,77.055,38.528,73.399,40.215,68.056,41.902,62.713,42.746,56.807,42.746,52.026,40.777,42.746,37.965,38.528,34.59,34.872,31.778,29.81,28.685,25.31,26.435,25.31,26.435]","{}"
"4_miI2XEYg","[""3red applee03501.png""]",0,"[]","[7,120.082,43.59,108.552,48.933,100.397,53.714,93.085,58.213,88.866,65.244,86.335,71.149,84.648,80.711,83.242,91.116,81.555,99.553,81.555,103.49,83.242,107.146,85.773,110.802,88.866,114.176,99.272,122.613,103.49,126.269,108.271,130.487,111.645,133.862,118.114,136.674,122.051,138.362,130.769,140.893,134.706,141.455,137.799,142.299,144.267,143.142,149.61,140.893,158.61,133.018,163.39,130.206,168.452,128.8,176.045,126.831,177.733,126.269,180.826,125.425,184.763,121.769,187.857,115.02,188.982,111.364,190.107,107.427,190.669,102.646,190.95,97.584,189.263,91.679,185.888,84.648,185.326,76.211,184.482,71.431,182.795,66.65,179.983,61.869,176.327,57.651,170.983,53.432,163.39,49.776,156.36,45.839,147.923,44.152,139.486,42.746,133.581,42.465,126.269,42.183,124.3,42.183]","{}"
